Hora: 9/9/2025, 12:22:46, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:23:06, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:23:26, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:23:46, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:24:06, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:24:27, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:24:46, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:25:06, Nivel: 37.50705, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:25:26, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:25:46, Nivel: 37.8329, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:26:06, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:26:26, Nivel: 37.54135, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:26:46, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:27:06, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:27:26, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:27:45, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:28:06, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:28:26, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:28:46, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:29:06, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:29:26, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:29:46, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:30:06, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:30:26, Nivel: 37.54135, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:30:45, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:31:06, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:31:26, Nivel: 37.8329, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:31:46, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:32:06, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:32:25, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:32:46, Nivel: 37.95295, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:33:05, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:33:26, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:33:46, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:34:07, Nivel: 37.4213, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:34:25, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:34:47, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:35:06, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:35:27, Nivel: 37.4213, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:35:47, Nivel: 37.9358, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:36:07, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:36:27, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:36:46, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:37:07, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:37:26, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:37:47, Nivel: 37.8672, Temp: 0, Hum: 0
Hora: 9/9/2025, 12:38:14, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:41:59, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:42:20, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:42:40, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:43:01, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:43:20, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:43:40, Nivel: 37.4213, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:44:00, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:44:20, Nivel: 37.4213, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:44:40, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:45:00, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:45:20, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:45:40, Nivel: 37.50705, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:46:00, Nivel: 37.4213, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:46:20, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:46:40, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:47:00, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:47:20, Nivel: 37.88435, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:47:40, Nivel: 37.4213, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:48:00, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:48:21, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:48:41, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:49:00, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:49:21, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:49:40, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:50:00, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 9/9/2025, 13:50:20, Nivel: 37.5242, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:22:50, Nivel: 0, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:23:11, Nivel: 0, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:23:30, Nivel: 47.5055, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:23:51, Nivel: 46.7852, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:24:11, Nivel: 46.6823, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:24:31, Nivel: 46.66515, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:24:51, Nivel: 46.6823, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:25:10, Nivel: 47.1968, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:25:31, Nivel: 46.6823, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:25:51, Nivel: 47.1968, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:26:11, Nivel: 46.7852, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:26:31, Nivel: 47.07675, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:26:50, Nivel: 47.0939, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:27:12, Nivel: 47.1968, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:27:30, Nivel: 47.1968, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:27:50, Nivel: 47.0939, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:28:10, Nivel: 47.1968, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:28:30, Nivel: 47.07675, Temp: 0, Hum: 0
Hora: 26/9/2025, 16:28:50, Nivel: 47.0939, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:26:00, Nivel: 0, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:27:08, Nivel: 47.41975, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:31:03, Nivel: 47.2997, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:49:25, Nivel: 47.35115, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:55:34, Nivel: 47.45405, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:57:34, Nivel: 47.35115, Temp: 0, Hum: 0
Hora: 30/9/2025, 15:57:56, Nivel: 47.3683, Temp: 0, Hum: 0
Hora: 30/9/2025, 16:02:27, Nivel: 47.35115, Temp: 0, Hum: 0
